des(0, 17109, 19683)
(14425, "x7", 16612)
(16612, "o2", 16630)
(16612, "o3", 16666)
(574, "x7", 2761)
(2761, "o2", 2779)
(2761, "o3", 2815)
(2761, "o6", 4219)
(4219, "x2", 4228)
(4219, "x3", 4246)
(4219, "x8", 10780)
(10780, "x-won", 19683)
(2761, "o8", 15883)
(15883, "x2", 15892)
(15883, "x3", 15910)
(15883, "x6", 16612)
(574, "x8", 7135)
(7135, "x-won", 19683)
(88, "o6", 1546)
(1546, "x2", 1555)
(1546, "x3", 1573)
(1546, "x5", 1789)
(1789, "o2", 1807)
(1789, "o3", 1843)
(1789, "o7", 6163)
(6163, "x2", 6172)
(6163, "x3", 6190)
(6163, "x8", 12724)
(12724, "x-won", 19683)
(1789, "o8", 14911)
(14911, "x2", 14920)
(14911, "x3", 14938)
